id,text,label,sentiment
20290,#Trackflashback: 'I Believe In A Thing Called Love' by The Darkness - check it out...,1,neutral
4831,may the 4th be with you,1,neutral
27224, mothers day gift,1,neutral
4710,"I would like to set the begin date in the past, then indicate the total number of days and have app calculate end date. i would like to see the end date on calendar, number of days remaining, and an option to have days marked complete as the default. also, stop asking me to rate when i already have please.",2,positive
24569,This GAR keeps going out - 3rd relight,1,neutral
10879,Awe i feel so left out,0,negative
11069," Nerves I think, Im not sure",1,neutral
23182,homework,1,neutral
9931,"I would love this app so much more if part of the calendar wasn't obscured. 
I don't mind the week number or anything, I just wish I could see both it 
and the bottom of the calendar clearly.",2,positive
2203,"amazing functionality; however, I wish there was a guide for some of the more advanced features.",2,positive
854,Rest In Peace  ADaM 12 & GLeNN EPPS.... Gone but never forgotten... what a week ...Loud in da air 4 ya,1,neutral
19214,"http://twitpic.com/4wsjr - Leisure Bay beach  (I see the pic. wasn`t uploaded last time, grrr!)",1,neutral
8386,nice!,1,neutral
6715,has a tummy ache,0,negative
10237,jQuery UI 1.6 Book Review - http://cfbloggers.org/?c=30631,1,neutral
16426,listening to AM- teddy picker  She saw it and she grabbed it and it wasn`t what it seemed,0,negative
19349,", word!?",1,neutral
25607,Fun webcamming with caroooo,2,positive
26023,Brian is teaching me soccer!! Lots of fun,2,positive
27046,Ugh! I just realized that I have to completely redo my tweetdeck groups! Pains of computer being wiped clean!,0,negative
2340,I gave up on tumblr because the API isn`t pointing to the private account,0,negative
10906, nice have fun....Although you cant not have fun lol,1,neutral
13047, all is quiet in twitterland 2day.,1,neutral
26146, see ya there,1,neutral
5657,"This is awful!! bring back wunderlist ! You cant move your list around to the you want, this is beyond frustrating. Not happy you are forcing us to stop wunderlist Will have to investigate else where for a better list app.",0,negative
11416,"1am, quietly tidying up after dinner party. Whilst closing tupprwre lid, centre island in my kitchen collapses! Wakes baby. Mayhem ensues",0,negative
18487, Love to but can`t swing the 11 am  I would more than likely do an evening tweetup in the future!,2,positive
4158,The Premium version of the App does not sync across multiple devices. I use an android phone and a chromebook and it still does not work. Don't bother with Premium.,0,negative
9603,"I paid for the subscription but can not use the recurring function. I tried 
to make a task for monthly use and it does not show up on the other months 
ahead.",0,negative
6770,"Yes! Cold coffee from yesterday. No sugar, no cream !  The way I like it !",2,positive
14729,likes being friends but it hurts when u love your friend but the feelings arent the same. trying to sleep. has to really try to give up.,1,neutral
15938,_m do it up,1,neutral
25115,lost my keys at the mall... took me 45 mins to find them,0,negative
4762," sorry bout 2day  bloody typical,goin 4 a laydown now feel sick again,ooo this not nice x",0,negative
2062,18 hours to work....*cry* i can`t survive!  // Weeelcome to my wonderland *sing along*,0,negative
944, Good to see you back. Sorry that happened to you,1,neutral
8348,i am still testing it out but so far do good... i like that there is a possibility to organize tasks according to thier importance and nature !,1,neutral
21912, Morning! I have loads to do 2day  goin for a walk 1st to get rid of last nites haribo`s,1,neutral
20222, I can`t die  I have a lunch date with rocio coming up plus some new shoes UGH!,0,negative
9175,"Have been using the old Pro version on all my previous devices for years and liked it very much. Just started to use this new one not long ago. It has a more contemporary design, simplified and streamlined options, but the change in drag n drop in weekly view costs it a star.",2,positive
11076,"Well, I made the list look better, but I can`t do anything about the number pictures, since I already closed that tab.",1,neutral
3175,ahh! big scary bug flying around my room!!!!!,0,negative
18959,_surprises unfortunately yes,0,negative
10425,Off to prom. Say hi to me,1,neutral
8765,"Waste of time, unusable cannot delete events",0,negative
23830,i looked all cute too!,2,positive
5317, That`s true  I never believe my staff when they call in sick on Mondays or Fridays - LOL!,1,neutral
20640, http://twitpic.com/4jazs - Congratulations! You two are adorable. Beautiful ring too!,2,positive
137," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",1,neutral
2431,Enables you to sandwich your productivity in double slices of focus. It's definitely my go-to planner.,2,positive
9327,awesome Not awesome. Just got a new phone. Doesn't trasnfer most of my events and tasks!!!! This has to improve. I love this app enough to take my tune to recreate my events BUT if this isn't fixed by the time I need a new phone.... bye bye Business Calendar. .... and I think I even PAID for the upgraded version! I see red!,2,positive
10511,"The more I hear about this GM thing the more angry I get. Billions wasted, more bullshit. All for something like 40k employees and all the..",0,negative
21761,wants to wish all the moms a Happy Mother`s Day.  Hope you`re all treated like Queens!,2,positive
8903,Twitter has been foking up for me today arg!  1 and 1/2 hours of work till the weekend! Woooooo,0,negative
22815,I am the queen of losing things. Important things like keycards and bus passes.,1,neutral
2616,sorry for taking over twitter with my i-can`t-sleepness,0,negative
10165,omg so bored &amp; my tattoooos are so itchy!!  help! aha =),0,negative
18338,"laughed so much today over that picture of lauren, that my chest hurts.",0,negative
19082,can`t make it to graduation...,0,negative
10342,@siratomofbones we tried but Time Warner wasn't being nice so we recorded today. :),0,negative
3841,Kinda wish price tiers weren't so high but that's not that big of a deal. I guess premium is better but I can't get that at the moment so eh. Actually I do have one complaint. I don't think syncing forest from the chrome extention to your phone should require the premium version. That's just me though,2,positive
561,"Really great app, great interface, easy to input tasks but you can't have your tasks show on Google calendar which is pretty disappointing.",1,neutral
232,"Must register with email, Google or FB -- displaying your email address -- just to get onto app. Smack dab near beginning of setup process (full page, per each setting), a full page ad to buy premium version appears. Getting into app? -- Stayed just a min, with the boxed, staring at the boxed, text notification that we have seven (7) days to try app for free. Already concerned about/not liking having to register online to use, stopped setup process, at that page. Uninstalling right now.",0,negative
4254,notthebest weekend....but oh well....I have a right to be sad,0,negative
7972,Love the look of this agenda. List feature is great way to track & complete to do lists!,2,positive
1100,Lost half its use once they got rid of seeing children categories in the widget. I use ToDoist for homework assignments and I used the parent functions for assignments to categorize what class the assignment is for. Without being able to see all my parent/sub folders from the widget it kills most of the use of the app. I went back to an old APK but then I started getting prompts that the app would stop working if I didn't update. I still use it as a grocery list with IFTTT until Keep is fixed.,0,negative
26547, oh no! I woke up accidentally.  how can we get you to fall asleep? Should I scare you with P2 or P3 stories? JK!,0,negative
2895,"I like it a lot, but I think it needs a way to tell what day you're in. It 
does ask if you did things yesterday, but I sometimes get reminders for 
things on the wrong days... It's still a very good resource.",1,neutral
9867,Only 24hr option? no 12. Would be cool if you could color code the circles in the calendar date to that calendar that has an event for that day.,1,neutral
11816,finally got home and get to sleep! had a great time with  and friends!,2,positive
3634, Re-direct that energy into creating men`s jewelry.    And frequent walks too.,1,neutral
19634," Good lord, man.   I recommend the Dark & Stormy at Casablanca.",2,positive
1838, Oh I see who u mean now-tht heltershelter person lol. yer looks scary,0,negative
5919,"Mostly works well, but I am rather disappointed with the syncing issues my wife and I are experiencing. I'm unsure as to what Microsoft has changed from the ""Wunderlist"" app that I've been forced to switch from, but this app does not work as quickly and nicely as wunderlist did, which I had been using for 2 to 3 years constantly because it worked so well. Please revise this app so that connectivity problems from servers can be solved. I am unable to sync some/all of my shared lists.",1,neutral
12986,dang i miss you  goodnight,0,negative
432,"I paid for the Premium version and had expected it to work. Unfortunately, I've been missing quite a few reminders because somehow they stopped working. The notifications didn't show at all. If this problem persists, I want to cancel my monthly subscription.",1,neutral
18373,I am tired.,0,negative
10413,"breakers. in San Francisco, CA http://loopt.us/4v88Bw.t",1,neutral
854,pretty useful,2,positive
3964,i can`t believe my little brother is married...,1,neutral
9479,I was really excited about this app but when I went to create an account it did not work. I tried logging in with my google account but it still didn't work. I am very disappointed,0,negative
4569,It is good but not for me,1,neutral
8211,"battery is low boooooooo in Palm Springs, CA http://loopt.us/2SljBw.t",0,negative
18550,Looking forward for orange juice and fried eggs and cinnamon rolls tomorrow morning!!,2,positive
9187,Very good... Just one point. When listing coming up tasks it would be good to have bands of background semi transparent color to highlight today's events and next 3 days events for example to be distinguished from far future events. All in one list with no distinction tends to be overlooked,2,positive
8028,The best yet!,2,positive
622,"booziest weekend in a long time, good fun though!",2,positive
22543,"Home from Jack`s now, can`t say I`m too happy about that either",0,negative
16503,"Nearly finished Angels and Demons, awesome book, feel so lame for only reading it now",1,neutral
7514," hahaha, yes, our discussions always seem to jump around randomly",1,neutral
2706,this app is closing down everytime I try to do anything but daily tasks. rather frustrating...,0,negative
10186,"**** it, the guys aren`t at #comet09  I hope they win though",2,positive
9725,"I downloaded this app on my tablet long time ago (full version) and recently also downloaded it on my phone as I don't bring my tablet with me all the time. I only use the ""task"" function, because  my  calendar events do not sync properly (I haven't fpnd the sync button on my phone...) and another not so funny thing for me: I am using the same account for both devices, BUT I can't use the full version on my phone (I get a message that I need to buy it (???)...) that's why I need to use my tablet (with the full version on it) if I want to add something.",1,neutral
4464,Don't get any reminders for the goals inspite of setting it a number of times!,1,neutral
7210,I found it odd that the app didn't have preset hourly reminders. Most people have habits that require them to do them on specific hours (for example; gyming twice or thrice a day) the app should have a feature on where you can input the exact times in the day when it should remind you Another example of this would be:  Reminder: on every Thursdays at 7am and 8pm I should be reminded of (insert habit).  Instead it's jungle of toggles that seem to not make sense,0,negative
13098,"  told you, you would sweep haha :-p",2,positive
19367,ugh blisters on both my big toes and on both my legs and my shoulders are raw as ****. my life sucks right now,0,negative
3250, Oh dear... that`s just... disturbing.   The coffee connoisseur in me just died a little.,0,negative
6077,I tried it since it had integrated many features from Wunderlist. It still falls short. There is no option to view all to do's at once. That was the main killer for me. I'm sticking with Wunderlist.,1,neutral
10560,10 tips for healthy eating ? ResultsBy Fitness Blog :: Fitness ... http://bit.ly/62gFn,1,neutral
14014, wow I love it !!! thanks,2,positive
14839,"just got back from..ahem, meal#4...was boring but had to eat nonetheless",0,negative
10454,#MBA Admissions Tips Stanford GSB Deadlines and Essay Topics 2009-2010 http://tinyurl.com/pet4fd,1,neutral
24441," - We drank ours away, May Day Bank Holiday today",1,neutral
1147,Ohh grandpas.. Stable.. Won`t kno all details til tomorrow when I visit... Keep him me and my fam in ur prayers..thank you  ... Goodnite,2,positive
20440, I would much rather you didn`t punch yourself in the face...it might hurt,0,negative
19834,"_peek mkay :/ did you tell him on msn? bfgurelgbsr yeah, i guess so, i don`t know if i like it, i`ll wait till i get your opinion",1,neutral
387,No TV and no internet make Catherine something something?,1,neutral
21679,On the way to santa monica,1,neutral
7978,Feeling deflated. Hubby saw swing set & thinks is a piece of junk. I thought I had found something good 4 the kids,1,neutral
15024," although, there is drama, move forward, smile, and count your blessings everyday. Your actions speak volumes, sooo inspiring",2,positive
24554,today was such a horrible dayy,0,negative
4121,wish it wasn`t raining,2,positive
16201,off to work... off at 10:30....lammmeeee,0,negative
9336,"Amazing app. Very helpful in planning your business. Very nice feature that you can add something and put it on repeat (every day, every month, certain day...) Highly recommend, it will help to make you business and life more easy.",2,positive
3589,"The guide to take the notifications off literally just shows for vivo, oppo (I don't even know what these are), Huawei and Xiaomi phones, there's no guide for simply Android or iPhone",1,neutral
6239, I like your HR shirts. They`re inspiring me to think of witty/rude HR-like sayings I`d never actually wear.,2,positive
4113,Good aplication ❤❤❤❤,2,positive
12156,"_10k much appreciated!  yeah, it sure is a challenge and a great reward. wouldn`t trade it for anything.",2,positive
9026,Pretty happy with how things have changed over the past 2 months...definitely for the best,1,neutral
11626,Good! luck you! I want new shoes  Ly x,2,positive
16470,Sorting out Twitter issues....very frustrated that you can`t talk to someone and they respond slowly to issues - capacity the challenges,0,negative
8213, thats great  (((hugs))),2,positive
10982,"2 days of this month left, and I only have 400MB left on my onpeak downloads.",1,neutral
11077,watching keeping up with the kardashian on youtube,1,neutral
6258, had a life changing redhead - she got away,1,neutral
7647,Right now at my second gig !!! Sippinn on guess whut ? Water  we sta focused we are on the job,2,positive
25929,Gotta get up early tomorrow...gotta be at work for 9,1,neutral
9124,UNC budget  cuts may rise to 18%   http://tinyurl.com/mdm5tp,1,neutral
9755,It doesn't work well for repeated scheduling of regular tasks.  I have tried selecting every week or every 7 days and repeat either does not work at all or shows up only for the same day monthly not weekly.,1,neutral
13459,"dear  a)stop snoring and b) move from the middle of the bed, please.",1,neutral
9120,its ok works for me,1,neutral
11533,****. It`s raining again,0,negative
20994,Blinded again,0,negative
24713,_agwl Talking to whom? This `Shah Rukh Khan` is an imposter here... LOL! BTW thanx for the follow...,1,neutral
1660,is heading in to London to meet with  and  let us know if you`re about  still not sure what time we`re meeting.....,1,neutral
9947,"Awesome app! It helps me a lot to organize my life, work and other stuffs. The features are really amazing! Would recommend this to my friends and colleagues.",2,positive
10884, srry can`t go paintballing tonight  and there are no good movies out,0,negative
18244,Oh my gosh! My hair is so short! I miss my long hair!,0,negative
5823,Watching wizard of waverly place,1,neutral
14653,(bye) plurk out muna. will be back when im done reading the book  http://plurk.com/p/rq9c7,1,neutral
8445,"I have looked and looked for an app that would let me make lists and check them off like pen and paper, and this does that. Simple and great to use.",2,positive
4196,Itt`s the BIG TIME Saturday night  Playing Canasta then a movie then...Psych homework?  Stay shiny and love everybody!!,2,positive
7318,not working in my phone,0,negative
4625,My breath is weezy.  No more going to knotts when you`ve been sick all week.,0,negative
23682, you will never be the same...,1,neutral
4012,Won a gps at post prom,2,positive
20363,"Back from umpireing trainging, making dinner",1,neutral
8591," - I`m alright thanks pal, just bored witless, bored to hell, really wanna` go out somewhere!",0,negative
5634, If it makes you feel any better.. My Saturday night is lame as well. I heart you,1,neutral
5652,OMGSH IM BEING FOLLOWED BY >>PARAMORE<< :O,2,positive
25925," yes, yes it was",1,neutral
24006, Izzy!!! So sorry to hear that - what a disaster,0,negative
13405, good morning sunshine. sleepytown is sleepy.,2,positive
3020,"CAN YOU PLEASE ADD THE ABILITY TO HEAR A SAMPLE OF THE AUDIO THEMES BEFORE YOU SELECT THEM? I tried another popular RPG checklist app and I didnt like it as much. This app for me has been life-changing, literally. Its a great app for breaking bad habits, building up good habits or having a videogame style quest checklist that gives you instant gratification for completing real-world tasks. Theres some occasional glitches but nothing major, they can be fixed by closing the app and restarting it.",2,positive
23410,"Last Heroes ep until Sept  Sick & drugged for past 3 days. Dr says lacking in everything, esp -get this- SUNSHINE.",0,negative
3394,"Ohhh me, i am rather bored. How can a friday night be soo boring!",0,negative
3160, haha well then maybe u shouldn`t be so weak  hehe jks  ****,2,positive
22853,Daddy just left.................without me  http://yfrog.com/13pdrmj,0,negative
1937,"Gettin some fuel, too bad no one is reading this!",0,negative
8476,Could you write an option so we can backup lists to cloud? Otherwise this app is really handy.,2,positive
4467, Same! And big moths and wasps and just insects in general HAHA I hate them,0,negative
14366, Well thank you.,2,positive
5221,i wanna be in michi with my moma!! Love you Mom,2,positive
11296," hilarious. so if she acts up, all you have to do is say 1 little word...'gummed up' grosses me out; hub says it 2 torment",2,positive
11396,cof Cof Cof!,1,neutral
6248, That`s ok then....  I accept the slave role...  Your wish is my command...  hahaha,1,neutral
1316,"needs registration, for online use...",1,neutral
3104," ohh yeahh (: i`m probs gonna be a loner to start with, thanks to the person i was gonna go with be a ****",0,negative
1928,idk why im so hyper im jumping everyhere. ugh lets let it be friday sweeney todd then cinco de mayo il those parties,0,negative
3262,insomniaa.  been trying to sleep for 2 hours . :|,1,neutral
5538,Great app. Very user-friendly and practical. Thanks,2,positive
23219,Ok so I`m **** hungry....!  I`m fat I know..I know..! Aha,0,negative
3179, i`m afraid im def. a product of the NRI Karan Johar generation- I`ve been watching a lot of classics this semester,0,negative
806,Very good for time management and reminding you when need to get things done.,2,positive
10123,  that`s the worst dream ever. weird to think all of those thoughts are in your subconscious.,0,negative
26680,just got the bouquet of flowers for my mom  HEHEHE SWEET ),2,positive
423,_dec0de I finally just have 1 hour of history... at 3.00 pm! but I went to my highschool at 8.00 am to make some homework with a friend,1,neutral
3788,can you add more than 2 hours?,1,neutral
8292,happy mothers day to all you mums out there,0,negative
4937,sun - where are you?,1,neutral
2540," Sorry, that was a bit negative!",0,negative
2143,_hand Oops! I completely forgot!,0,negative
22078,listening through the Mendeed discog once again. I still think their disbanding is a loss.  #metal,0,negative
1343,thank god for some overcast and ivory. Trying to get my mom to take me out to lunch egh doesnt look like its gonna work.,2,positive
1246,"Watched GossiP.Girl. Dan`s so funny, haha.",2,positive
20279,"juss boredd, !",0,negative
8516,Like it!,2,positive
26856,...you should call school and tell them you have swine flu so we can have the day off,1,neutral
1871,...Nomore adventure time,0,negative
7708," Ha Thats good. Thats why I love my boys, cos they never stir up the hatred that the mighty red scum do  Everyone loves City",2,positive
7045,"This app is fantastic! I work from home anyway, and with the disruption due to the Coronavirus, it was difficult to maintain my usual schedule. By the end of the day, I hadn't accomplished much and really didn't know where the time had gone. I downloaded Sectograph and it has made all the difference. I am getting my work done and even have free time to enjoy. I even recommended it on Twitter yesterday.",2,positive
8052,"Dear developers, thank you for deleting all my reminders after updating the app! It was not pleasant at all, believe me!",0,negative
22129,going to get waterguns from tesco today   haha.   its sunny.,1,neutral
4749,I have to uninstall it because i need more habits to track but the free version cant provide more than 5 habits.,2,positive
2878," unfortunately I know I would like them - which is why I am avoiding them,",1,neutral
10047,It's a good app.,2,positive
4612, http://twitpic.com/4wrxq - whens your little gingg getting twitter ? from g + j,1,neutral
9620,Just finished watching the series return of the Chasers War on Everything - really quite **** compared to how it used to be,0,negative
7825,Watching Ryann!!  Gonna be a grand day!!!,2,positive
24377,_fann coming up! Sowwy!,0,negative
24231, Hope you feel better soon and check out my cool backround on my profile,2,positive
26195, Kat Stewart did a great job with a great character not that I watched #underbelly in Victoria,2,positive
9854,"I wish it would sync, so I could use it on all devices",1,neutral
9499,"Up and breakfasted, about to jump in shower then heading off to the land of the black pudding for playoff part 2",1,neutral
11499,"_Griffin I spent yesterday nursing one of those, only replace Vodka with wine, and Japanese with posh dinner!",1,neutral
20185,On my way to nottingham..I so don`t want to be going,0,negative
24097, thanku  cooking is simple but the law is- u hve to have fun while u make it,2,positive
1856, yeah i want to know what that is too!,1,neutral
21794,I`m emailing my best friend Deanna with my yahoo account. Emailing is FUN.  <3,2,positive
707, actually workin from home tonight...  you?,1,neutral
6881,Why isn't this also an Android wear watchface?,1,neutral
14,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,0,negative
24325,"honestly, why did the folks at Microsoft do MS Word 2007 to me?  I can`t believe I just spent 10 minutes finding auto correct options",1,neutral
1601,"Love it especially the natural language e.g write every tuesday, friday do ... Then it will automatically repeat ... Every tuesday, friday.",2,positive
4546, http://twitpic.com/4jf4m - Very interesting head gear. lol.,2,positive
22856, i`ll try sort that fabric out for you today...been a busy bee!,1,neutral
46,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,0,negative
8478,homeee! my feet are sore,0,negative
4505," awww ) where`d you get that? hugh is so thin. no traces of being wolverine yet. btw, who`s that other guy besides RDJ?",1,neutral
16036,"got so totally lost that I had to pay for a taxi to get me back to where I was supposed to be. Yeah, something like that, lol.",0,negative
24807,The Taxi Q at Pelangi was super loooong.. and now I`m getting headaches because of the hot-cold transition,0,negative
2601,can`t upload a picture. I already hate twitter,0,negative
22691,Morning...I woke up to watch  on the Today show. You rocked it girl. Wish I could have been there. So close but so far away,1,neutral
1195, very nice...i cleared my head,2,positive
19040," The Hulk, great movie  You might recognize Toronto`s Younge Street in some of the fight scenes.",2,positive
286," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",2,positive
2533,I hope I get the job so I can have some steady income and start eating well again. All the cheap food is horrible for you,1,neutral
1507,Super convenient,2,positive
520, Thanks for sharing that,2,positive
4716,Another loser: ****. I have lost the game more times today than any other day in history.  lost.. http://tinyurl.com/qa4cdv ( ...,0,negative
3341," haha well i was at my friend`s party, but then i realized i forgot my stepmom`s bday, so i had to come home to call her!",1,neutral
2167,"Tick tick is Brilliant app, I have been using it for almost 2 years and I even subscribe to the upgrade, unfortunately was disappointed that it automatically subscriberd me to auto renewal, without providing me the option to choose yearly renewal. I have since unsubscribed. I would like to upgrade but only if I am allowed to choose yearly upgrade not auto renewal.",1,neutral
21758,I`m so proud of Dr. House for detoxing.  His Amber hallucination is evil!!,2,positive
5188,It's helping me the way i think,2,positive
15681,Just woke up and catching up on the nightly tweets!!,1,neutral
9125,Est ce que vous avez une version de Business Calendar pour les laptop ?,1,neutral
2918," Pics? Ah, I`ll probably see you at work at some point... Hopefully b4 it grows out too much",2,positive
112,Why should I pay for an app of which I haven't installed? Huh😠😠😠,0,negative
2239,"leaving work, going to crystal to search for her license, picking her and bia up, then heading to vegas. ugh i`m tired already",0,negative
638,"Its a great app, although it only allows me to connect to amazon alexa, and not any other assistant.",2,positive
16231,"What to do this weekend, what to do. Don`t think I`ll be making it to Michigan for The Wonder Years.",1,neutral
16572, nick`s voice still makes me wanna kill things,0,negative
22919,Sad babies make for angsty writing,0,negative
6983,"Use twitter, quit life",1,neutral
15315,*cough cough hack hack,1,neutral
25397,Soooooooooo glad to learn that Farrells ice cream parlor is staging a comeback in So. Cal -- too bad it`s in the Mission Viejo mall,1,neutral
444,"Where is the priority setting? My app interface doesn't match the video you created for new users. I liked everywhere and can't find any any to prioritize tasks, only set a time for a reminder. Please provide up to date instruction for setting priorities and other details for using the app. Thanks.",1,neutral
9220,I have just looked the time and it is #BGT in 20mins. I may hibernate for an hour or so.,1,neutral
7291,not user friendly,0,negative
768,"Basic functionality, and apparently that's enough for personal usage. But this animations and user experience make you open this app again and again and again...",2,positive
1987,My spellingis awful on twiiter,0,negative
2041,"thought id tanned after an hour in the sun, i was wrong....i`ve just burnt",0,negative
24049,Sensation Ocean of White Portugal: absolutely amazing  Adoreiii!,2,positive
2661,"I quite like habitica, but this app has some issues. The biggest problem for me is that switching the to do list to ""Scheduled"" is supposed to sort the to do items by due date (that's how it works on the website), but it doesn't. That makes the to do list (in the app) useless for me.",0,negative
8462,It's useful simple to use Have lot of features but not complicated and disturbing Maybe it's not number #1 but I'm sure it's one the best apps,2,positive
213, We never miss ICarly - my son has a huge crush on Miranda,2,positive
17355,Ugh i can`t sleep and it`s reallyy gettin to me gahif pisses me off so bad sometimes. Atleast i know who my friends are,0,negative
6405,Its the place where I take notes of my homework and projects I've got to do so pretty useful for me,2,positive
26228, LoL....heeeyyy love! Not much working   and you,1,neutral
8182,No easy way to import/export tasks in a compatible format (e.g. Google Tasks),0,negative
25674," hey perez! good luck! well, i`m still planning for a big present to be given for my mom! i love you mom!",2,positive
5497,Great simple app. I wish it easily sync'd across devices. I also would love a calendar view I can see/print so I can visually see my progress over time.,2,positive
15297,oh how I miss my truck... I could have my whole place moved by now...,0,negative
17160,Enjoyed last night at what I call 'real world social networking' -  LOK event in Vancouver.  It was great!.  But headeache today,1,neutral
2693,"Great concept, but can they hire an artist, this artwork is outdated!! otherwise I would use this",0,negative
15949," Thanks, I found the link http://bit.ly/uxOFO  , however I think you need to be a customer to download it",2,positive
21228,"Heading to bed. I think I`ll read for a bit, propped up on fluffy pillows.",1,neutral
2405," thanks  and ill cross my fingers for you, that the rain will stop",2,positive
12484, 7pm? So early. Dat`s 4pm my time.,1,neutral
9089,Sometimes the app will just stop working or the widgets won't work,1,neutral
25162,i just realized today was my last day to see my best friend tanner im goin to miss him so much,1,neutral
2546,Requires being online to use. Which is a shame because it looks like a fun way to get motivated. Would use if it didn't require constant network or wifi connection (I live and work in rural areas) . Had to uninstall due to inability to use throughout the day.,0,negative
18332,Fixed my favourites. $180 and the heels fell off after 4 wears,2,positive
3695,Please add pause provision in the app for long time study so thay actual focus can be counted .,1,neutral
9365,I have used for 3 or so years. It has served me well. So far. :). So far it is one of very few apps that has never crashed...( The so far is Murphy's law),2,positive
2292,Sick at home and so bored  I want to get better already so I can enjoy being a college grad!,0,negative
9106,Is there a way to see less weeks in month-widget? 6 weeks is too much for my taste. 4 would be more ideal,1,neutral
4520,I would have loved this app except for the fact that I need to pay to even use it as a widget.,1,neutral
23288,"hey  please reply me, i can`t call you im from Mexico and i don`t know the code  love you",2,positive
1082,gosh im bored. its early..n i wanna go..to sleeeepp why am i at work?  *kay<3*,0,negative
14438,Having Problems With My BlackBerry UGH I need another charged Battery! (@ least 4 now)  ,0,negative
17161,Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.,2,positive
5659, oh no  this week is just a bad one for everyone. i love you & your pretty face & youre going to do fantastic in concert tonight,1,neutral
27130,TV time  see yall later! xoxo,1,neutral
26561,"Ive been up since 530,i hate wen i cant sleep. Garys takn a nap and i mite do the same",1,neutral
8534,"Bullet should be in front of the first line of the paragraph, not in front of the middle of the paragraph",2,positive
16550,Wowzer! It`s very windy. Not good for my allergies!!,0,negative
19666,there it is. postieeee  http://andshehopes.blogspot.com/2009/05/kewpie.html,1,neutral
